#{"t_start": 1761408449.496938, "env_id": "None"}
r,l,t
39.7,40,953.398783
46.5,46,954.242844
46.5,46,955.107835
65.7,62,956.153571
39.3,40,956.910192
39.5,40,957.6556
53.7,52,958.54256
45.064,45,959.387582
47.1,46,960.269398
47.1,46,961.089636
46.9,46,961.930032
55.9,54,962.828533
56.1,54,963.846972
46.9,46,964.672847
39.7,40,965.4437
47.1,46,966.40209
71.1,66,967.282568
54.1,52,968.191847
68.1,64,969.189029
46.5,46,970.050699
41.9,42,970.814403
39.5,40,971.569364
60.9,58,972.532243
46.3,46,973.345932
63.5,60,974.279823
61.1,58,975.251498
42.1,42,976.022422
58.1,56,976.929075
70.9,66,977.891794
39.7,40,978.637058
41.9,42,979.436207
60.9,58,980.453413
47.1,46,981.295755
34.5,36,981.967166
39.7,40,982.729616
46.9,46,983.584755
60.7,58,984.508826
53.9,52,985.423693
47.1,46,986.351639
54.3,52,987.248027
75.7,70,988.26978
39.5,40,989.038278
46.9,46,989.866757
58.1,56,990.815011
39.9,40,991.567031
53.7,52,992.449639
39.7,40,993.226955
54.3,52,994.117328
46.3,46,994.977829
47.1,46,995.830588
61.1,58,996.881024
68.1,64,997.87009
61.3,58,998.936598
44.1,44,999.775823
39.9,40,1000.535787
53.9,52,1005.717239
48.7,50,1006.63675
58.9,56,1007.63821
60.5,58,1008.57512
61.3,58,1009.553524
44.7,44,1010.359837
46.7,46,1011.152342
54.1,52,1012.118123
60.9,58,1013.079458
53.7,52,1013.972821
46.9,46,1014.809536
45.296,45,1015.636449
39.7,40,1016.384539
47.1,46,1017.375926
75.7,70,1018.439018
53.7,52,1019.309597
53.7,52,1020.226853
46.7,46,1021.128785
54.3,52,1022.046647
39.3,40,1022.789382
46.7,46,1023.635286
58.837,56,1024.534117
42.1,42,1025.311224
46.7,46,1026.147613
63.5,60,1027.097017
51.3,50,1027.98471
39.7,40,1028.732647
55.685,54,1029.721749
61.3,58,1030.653453
53.9,52,1031.601174
39.9,40,1032.474813
39.5,40,1033.343558
39.7,40,1034.106421
53.7,52,1035.167476
51.5,50,1036.195785
39.3,40,1037.001907
70.9,66,1038.013096
34.9,36,1038.69465
68.3,64,1039.797695
46.5,46,1040.774655
37.1,38,1041.482202
54.1,52,1042.367276
49.3,48,1043.242225
54.1,52,1044.145618
46.9,46,1044.992955
53.7,52,1045.90164
46.9,46,1046.768319
54.1,52,1047.683736
47.1,46,1048.561937
39.7,40,1049.321027
48.9,48,1050.16984
60.5,58,1051.127557
45.631,45,1051.963982
46.7,46,1052.80549
39.5,40,1053.641476
46.7,46,1054.5331
53.9,52,1055.474381
46.5,46,1056.302182
46.7,46,1057.132139
39.7,40,1057.935947
68.1,64,1058.970365
45.9,46,1059.813066
46.1,46,1060.656428
59.664,57,1061.575481
75.1,70,1062.630905
49.3,48,1063.513148
38.7,40,1064.293217
39.5,40,1065.050453
46.9,46,1065.874564
43.831,44,1066.656354
46.3,46,1067.520339
68.3,64,1068.533215
45.7,46,1069.414693
46.9,46,1070.233248
61.5,58,1071.147459
39.5,40,1071.914871
49.1,48,1072.77119
39.7,40,1073.514293
39.7,40,1074.309178
61.1,58,1075.283769
46.7,46,1076.125339
39.5,40,1076.880298
54.3,52,1077.760441
39.7,40,1078.522313
39.3,40,1079.305035
50.091,49,1080.26577
42.3,42,1081.052588
39.7,40,1081.868759
39.7,40,1082.6282
46.7,46,1083.474909
39.7,40,1084.229768
39.9,40,1085.036276
39.9,40,1085.835663
39.7,40,1086.591506
39.9,40,1087.333549
34.5,36,1088.057341
61.3,58,1089.12125
54.1,52,1090.17867
42.3,42,1091.09897
39.9,40,1091.986967
39.9,40,1092.848767
67.3,64,1093.809035
58.7,56,1094.804613
58.9,56,1095.744278
54.3,52,1096.68263
47.1,46,1097.497919
46.9,46,1098.281702
63.7,60,1099.278127
53.9,52,1100.233175
42.1,42,1101.096395
44.5,44,1101.928967
39.7,40,1102.711394
54.3,52,1103.623643
39.7,40,1104.369164
39.7,40,1105.107231
47.1,46,1105.962917
39.1,40,1106.683489
34.7,36,1107.374132
61.5,58,1108.346572
39.7,40,1109.087465
46.1,46,1109.920845
39.7,40,1110.743558
49.1,48,1111.645397
46.7,46,1112.499486
67.7,64,1113.463676
56.233,54,1114.381061
53.9,52,1115.317941
46.5,46,1116.203491
53.9,52,1117.11027
45.9,46,1117.972968
46.9,46,1118.801446
46.7,46,1119.714821
53.7,52,1120.613518
39.5,40,1121.397272
47.1,46,1122.246095
68.3,64,1123.221647
39.7,40,1123.966963
46.7,46,1124.825424
39.7,40,1125.580586
39.5,40,1126.403045
39.7,40,1127.175072
49.5,48,1128.038602
44.3,44,1128.857158
39.7,40,1129.617796
58.9,56,1130.540324
53.5,52,1131.47362
39.3,40,1132.283572
59.1,56,1133.241069
63.804,60,1134.249779
56.7,54,1135.141526
46.7,46,1135.989839
42.1,42,1136.805691
43.9,44,1137.630256
39.7,40,1138.388416
61.3,58,1139.357109
46.5,46,1140.218498
68.3,64,1141.179897
53.5,52,1142.112896
53.9,52,1142.979418
39.5,40,1143.735988
54.3,52,1144.617225
39.5,40,1145.406594
39.5,40,1146.161462
47.1,46,1147.015098
35.1,36,1147.709025
49.3,48,1148.571505
42.3,42,1149.356099
63.1,60,1150.315086
39.7,40,1151.123667
55.7,54,1152.036695
44.1,44,1152.88283
39.5,40,1153.649575
53.7,52,1154.559205
39.5,40,1155.31484
46.9,46,1156.152345
47.1,46,1156.972855
51.235,50,1157.876902
47.1,46,1158.790654
37.5,38,1159.523609
61.204,58,1160.450771
46.9,46,1161.297827
53.9,52,1162.208757
41.7,42,1163.039528
46.5,46,1163.879089
39.3,40,1164.608961
59.876,57,1165.543682
46.5,46,1166.423559
53.9,52,1167.354102
38.476,39,1168.104019
53.7,52,1169.047578
54.1,52,1169.953068
39.7,40,1170.776578
46.9,46,1171.60306
47.872,47,1172.504897
39.9,40,1173.414277
44.3,44,1174.238382
58.7,56,1175.212954
46.5,46,1176.04811
41.9,42,1176.906142
46.7,46,1177.726044
46.3,46,1178.670123
39.7,40,1179.489366
54.1,52,1180.342421
51.447,50,1181.235202
42.1,42,1182.022866
53.9,52,1182.901657
43.9,44,1183.741473
39.7,40,1184.497942
46.7,46,1185.372436
51.5,50,1186.247398
39.7,40,1187.079771
51.7,50,1187.981053
39.7,40,1188.750097
