timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable
142,7.0,7.142857142857112,0.28571428571428736,3.5699999999999976,0.0,0.0
143,7.0,6.642857142857111,0.30721966205837403,3.3899999999999975,0.0,0.0
144,7.0,6.14285714285711,0.22093023255814104,3.2099999999999973,0.0,0.0
145,6.0,6.666666666666632,0.23750000000000204,3.039999999999998,0.0,0.0
146,6.0,6.166666666666632,0.256756756756759,2.8799999999999977,0.0,0.0
147,6.0,5.666666666666632,0.2794117647058847,2.7199999999999975,0.0,0.0
148,6.0,5.666666666666631,0.2843137254901984,4.019999999999998,0.0,5.0
149,6.0,5.166666666666631,0.3118279569892495,3.819999999999997,0.0,0.0
150,6.0,4.666666666666631,0.2142857142857153,3.619999999999997,0.0,0.0
151,5.0,5.099999999999967,0.23529411764706065,3.4199999999999973,0.0,0.0
152,5.0,5.199999999999966,0.1346153846153848,3.969999999999997,0.0,5.0
153,4.0,5.999999999999968,0.14583333333333348,2.3999999999999972,0.0,0.0
154,4.0,5.499999999999968,0.15909090909090917,2.2399999999999975,0.0,0.0
155,4.0,4.999999999999968,0.17500000000000027,2.0899999999999976,0.0,0.0
156,4.0,4.499999999999968,0.19444444444444486,1.9499999999999975,0.0,0.0
157,4.0,4.749999999999968,0.171052631578948,1.8099999999999976,0.0,5.0
158,4.0,4.249999999999969,0.19117647058823573,1.6699999999999975,0.0,0.0
159,4.0,3.7499999999999685,0.21666666666666767,1.5299999999999974,0.0,0.0
160,4.0,3.2499999999999685,0.25000000000000133,1.3899999999999975,0.0,0.0
161,4.0,2.749999999999969,0.2954545454545474,1.2599999999999978,0.0,0.0
162,4.0,2.249999999999969,0.14814814814814903,1.139999999999998,0.0,0.0
163,3.0,2.4999999999999667,0.17777777777777892,1.0199999999999978,0.0,0.0
164,3.0,1.999999999999967,0.22222222222222432,0.9199999999999986,0.0,0.0
165,3.0,1.499999999999967,0.2962962962963007,0.8399999999999985,0.0,0.0
166,3.0,0.999999999999967,0.16666666666666674,0.7599999999999986,0.0,0.0
167,2.0,0.9999999999999658,0.2500000000000031,0.6799999999999986,0.0,0.0
168,2.0,0.49999999999996586,0.0,0.5999999999999985,0.0,0.0
169,1.0,0.49999999999995476,0.0,0.5199999999999985,0.0,0.0
170,1.0,-4.518607710224387e-14,0.0,0.4399999999999985,0.0,0.0
