timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std
148,9.8,9.995702613297947,9.961586833938343,0.2347580340675144,2.821347195933177,3.8973439688204334,14.381634076728888,0.15498664873708182
149,9.7,9.857118379696919,10.997586833938342,0.2364987992378767,2.6851443164195103,3.900762204508816,16.341902997779446,0.14917816949770576
150,9.7,10.257360348366008,7.277341583683463,0.18054806309720609,2.6851443164195103,3.635528783712213,18.760701649519255,0.1530376693611789
151,9.7,9.922635911691568,8.255341583683457,0.2067264446944857,2.6851443164195103,3.5530562490394773,18.979695943032706,0.15251710192035245
152,9.7,9.935268007373667,9.585341583683455,0.215435161477009,2.6851443164195103,3.513299022045301,19.37474347995514,0.14977039484971957
153,9.7,9.898239508095166,10.665341583683455,0.21121412338477974,2.6851443164195103,3.4533753097721047,20.149326091157153,0.15722322659658378
154,9.7,9.81199747650987,12.33612325647749,0.21904001359994557,2.6851443164195103,3.6301792802707733,22.413010876794544,0.14905611659716755
155,9.7,10.639488907288287,2.0273824547023573,0.23051128133138796,2.6851443164195103,3.9030848029321596,1.8721525968638333,0.1628498427987417
156,9.7,10.452533307332686,2.7073824547023557,0.23162202167850537,2.6851443164195103,4.184944078654715,2.5186256584789986,0.15543164104363966
157,9.7,9.680848853823239,11.606506386326227,0.22273497872864176,2.6851443164195103,3.5440661935090265,25.03885913404259,0.15742392653515558
158,9.7,9.354261441235826,12.282506386326228,0.2317890039204486,2.6851443164195103,3.489835006259937,25.547360712982854,0.1690481683017292
159,9.7,9.03151498768937,13.530506386326227,0.2552601800036533,2.6851443164195103,3.4339949988117024,27.16808966804854,0.16436927595041242
160,9.7,9.981670950119664,1.5189116360681638,0.25435938943642367,2.6851443164195103,4.220325829590826,0.9538480454825152,0.17550450482147517
161,9.7,9.831273253467346,2.9940104692316583,0.2670923898648028,2.6851443164195103,4.33853957865405,1.908834512043455,0.1675278856002382
162,9.7,9.64097173831583,3.222010469231658,0.2700737029258251,2.6851443164195103,4.337867404798523,1.7656939006050716,0.16583033403498543
163,9.7,9.487608775449381,3.6542073414738523,0.27383754971880003,2.6851443164195103,4.441292204899551,2.3596665409701543,0.16584130243992604
164,9.6,9.219764480199846,4.484207341473852,0.29183646484930137,2.690724809414742,4.187964379363876,2.397944090385941,0.15038880568765828
165,9.6,9.600739613621737,1.7630787891313102,0.2658940596146647,2.690724809414742,4.228540280005255,2.2515269194194225,0.15179695928163905
166,9.6,9.452138270520395,2.6270787891313097,0.2727134123887226,2.690724809414742,4.218090195600096,2.6548233266513663,0.1574571534427848
167,9.5,8.560284277787613,15.374279487411062,0.22662784733002256,2.7294688127912363,3.0296314080800264,33.768119623544116,0.1139669566480652
168,9.5,8.299773954777288,16.32227948741106,0.24583232091368706,2.7294688127912363,3.100371264792897,34.7370076973572,0.11213949338878189
169,9.5,8.041039272792606,17.234279487411058,0.26212660497529444,2.7294688127912363,3.227064505685612,35.02929952998576,0.11511920512035101
170,9.5,8.99145572041701,5.478750730929696,0.2367438461283596,2.7294688127912363,3.794556822414094,14.561850520015387,0.14125380119528944
171,9.5,8.875423091706564,7.9586760753302785,0.25290623169051657,2.7294688127912363,3.6796355435994714,18.60168688626448,0.1451871184361375
172,9.3,8.555075175195048,13.194134915454276,0.24789715907267507,2.8301943396169813,3.1984139579633886,29.6774695303964,0.141828816726566
173,9.3,7.692246489359304,22.21636936515549,0.22443878173185086,2.8301943396169813,2.2237850394994925,37.204738984303575,0.14388907471552376
174,9.2,7.664529626244475,23.402369365155486,0.2264530923700841,2.9257477676655586,2.184201170873134,38.44615272190617,0.1461246730284594
175,9.0,8.631966451953158,14.311428318185714,0.21788398433218875,3.1937438845342623,3.0936666907760237,33.25393679268203,0.1337587233261918
176,8.9,8.027968336909025,23.41922124066273,0.18973583882669812,3.3600595232822887,1.8280015648997952,41.11059751629033,0.10528020784631546
177,8.8,7.804978749245699,25.15059095922054,0.18114043168946303,3.54400902933387,1.4784053441368485,43.16155048297475,0.09033794362782448
178,8.7,7.785984014936117,26.116590959220538,0.1682535471689575,3.5791060336346563,1.4472927909464823,43.81726083681059,0.08217917830520954
179,8.6,7.9639235359536595,27.760590959220536,0.16042677270987785,3.6932370625238775,1.363633950975173,44.959304663668796,0.06587383028672823
180,8.6,9.27692077286395,11.71956496929582,0.1778693894655598,3.6932370625238775,4.307825140513355,32.851581400977864,0.13404065284200234
181,8.6,9.040058981735896,13.12304263250115,0.19115184529781418,3.6932370625238775,4.322330734633949,33.57910019398129,0.14009815046982368
182,8.5,7.768449451922599,27.09357666411421,0.1427518203606449,3.721558813185679,1.7682326928236485,51.326312667959776,0.06489813721197905
183,8.5,7.780431006150765,28.242766140351115,0.15806110457715833,3.721558813185679,1.4975579954638598,52.28111945850668,0.06386528339680093
184,8.5,7.838912837497904,31.002430904266884,0.17175925171426581,3.721558813185679,1.657904994575171,54.633742368775444,0.06366071713431568
185,8.5,8.123074241987567,28.68020375785418,0.14011455119834787,3.721558813185679,1.791598276206074,53.757253190445105,0.06995628139899475
186,8.5,7.927514718178043,29.89420375785417,0.15954229493650382,3.721558813185679,1.7188801409234837,54.06160913505003,0.07286263872461611
187,8.5,7.923218680882006,31.318703757854166,0.17490716917058538,3.721558813185679,1.4589383810352405,55.75276648618565,0.08450431109106556
188,8.5,7.861769859264312,33.40511744321321,0.18235334529420194,3.721558813185679,1.6679133186629966,57.682982000572835,0.09332506154243127
189,8.5,7.850205652840302,35.59105567002985,0.1819707512189975,3.721558813185679,1.8122777064634688,59.782267237617916,0.10667446389031965
190,8.4,9.404318952906136,17.061419652379854,0.21776923153213662,3.6386810797320503,4.82552861865577,48.700822422805,0.15280180430972598
191,8.3,9.828543478380663,18.44541965237985,0.19763616855116659,3.8223029707232787,4.47636776473385,48.99345039234915,0.13570479361674653
